Education,Marital_Status,HasChildren,AgeGroup,Income,Recency,Complain,Days_Since_Enrolled,Years_Since_Enrolled,NumDealsPurchases,NumWebVisitsMonth,NumTotalPurchases,MntRegularProds,MntGoldProds,MntTotal,AcceptedCmpTotal,HasAcceptedCmp,Response
Master,Single,1,61+,49389.0,55,0,304,0,1,7,5,62,3,65,0,0,0
PhD,Partner,1,31-45,67353.0,37,0,180,0,5,2,23,878,35,913,0,0,0
2n Cycle,Partner,1,31-45,23718.0,76,0,300,0,3,7,6,45,36,81,0,0,0
Graduation,Single,1,31-45,42429.0,99,0,138,0,2,5,5,63,4,67,0,0,0
PhD,Single,0,61+,48948.0,53,0,513,1,2,6,22,860,42,902,1,1,1
Graduation,Partner,1,31-45,80011.0,3,0,426,1,2,4,19,1293,102,1395,0,0,0
Master,Partner,1,18-30,20559.0,88,0,474,1,2,8,5,46,7,53,0,0,0
Graduation,Partner,1,46-60,21994.0,4,0,552,1,1,5,3,19,3,22,0,0,0
Master,Partner,1,31-45,7500.0,19,0,270,0,3,5,5,19,12,31,0,0,0
Graduation,Single,0,31-45,79941.0,72,0,1,0,1,1,15,810,174,984,0,0,0
2n Cycle,Partner,0,18-30,7500.0,24,0,597,1,3,9,7,72,50,122,0,0,1
Graduation,Partner,1,46-60,41728.0,92,0,401,1,1,10,4,42,13,55,0,0,0
PhD,Partner,1,46-60,72550.0,39,0,598,1,9,8,19,1281,38,1319,0,0,0
Graduation,Single,1,46-60,65486.0,29,0,48,0,1,2,16,493,14,507,0,0,0
Master,Partner,0,46-60,79143.0,2,0,687,1,1,3,28,1661,32,1693,0,0,0
Graduation,Single,1,31-45,35790.0,54,0,543,1,2,7,5,69,3,72,0,0,0
Graduation,Single,0,31-45,82582.0,54,0,22,0,1,1,20,1376,241,1617,2,1,1
Graduation,Partner,1,31-45,66373.0,57,0,382,1,7,3,16,497,109,606,0,0,0
Master,Partner,0,46-60,82384.0,55,0,587,1,1,1,26,1767,190,1957,1,1,1
Graduation,Single,0,46-60,70287.0,30,0,453,1,1,3,20,1053,40,1093,0,0,1
Graduation,Single,1,18-30,27938.0,31,0,62,0,1,3,5,24,5,29,0,0,0
PhD,Partner,1,46-60,55954.0,63,0,118,0,3,7,16,475,43,518,0,0,0
Master,Single,0,31-45,75777.0,12,0,360,0,1,1,20,1358,80,1438,2,1,1
Graduation,Partner,1,31-45,66653.0,18,0,660,1,4,3,18,606,6,612,0,0,0
Graduation,Single,1,61+,61823.0,26,0,496,1,4,7,20,715,169,884,0,0,0
PhD,Single,1,61+,67680.0,8,0,383,1,1,5,18,600,6,606,0,0,0
Graduation,Partner,0,61+,70666.0,29,0,205,0,1,4,15,1046,30,1076,0,0,0
Graduation,Partner,1,31-45,25721.0,75,0,404,1,1,7,4,19,15,34,0,0,1
Graduation,Partner,1,46-60,32474.0,0,0,49,0,1,7,3,11,0,11,0,0,0
2n Cycle,Single,1,31-45,88194.0,19,0,102,0,1,5,31,1236,38,1274,2,1,1
Graduation,Partner,1,46-60,69096.0,4,0,275,0,1,4,17,544,109,653,0,0,0
Graduation,Partner,1,31-45,74854.0,90,0,447,1,7,5,12,1489,73,1562,0,0,0
Master,Partner,0,46-60,66991.0,1,0,656,1,3,3,18,1241,12,1253,0,0,0
Graduation,Partner,1,46-60,65031.0,29,0,469,1,4,7,26,777,86,863,0,0,0
PhD,Partner,1,31-45,60631.0,88,0,450,1,5,7,19,642,19,661,1,1,0
Graduation,Partner,0,61+,28332.0,58,0,60,0,1,2,7,56,9,65,0,0,0
Graduation,Single,1,31-45,40246.0,68,0,557,1,1,6,3,12,1,13,0,0,0
Master,Partner,0,31-45,75251.0,34,0,671,1,1,5,18,1872,18,1890,0,0,1
Graduation,Single,0,31-45,75825.0,40,0,625,1,0,4,22,2158,51,2209,1,1,1
2n Cycle,Partner,0,31-45,26326.0,12,1,298,0,1,3,3,9,9,18,0,0,0
Graduation,Partner,0,46-60,56046.0,9,0,543,1,2,8,19,641,51,692,1,1,1
Graduation,Single,1,18-30,29760.0,87,0,669,1,4,8,8,148,17,165,0,0,0
Graduation,Partner,1,31-45,26304.0,5,0,371,1,1,7,3,12,4,16,0,0,0
2n Cycle,Partner,1,31-45,23559.0,87,0,361,0,3,7,6,56,23,79,0,0,0
Master,Partner,0,46-60,38620.0,56,0,414,1,1,3,10,229,89,318,0,0,0
Graduation,Single,0,18-30,81361.0,18,0,124,0,1,1,26,702,76,778,0,0,0
Graduation,Partner,1,46-60,29440.0,95,0,322,0,2,7,5,53,3,56,0,0,0
Master,Partner,1,31-45,36138.0,48,0,348,0,5,7,8,146,5,151,1,1,0
Graduation,Single,1,46-60,50388.0,3,0,32,0,4,7,13,338,34,372,2,1,1
Graduation,Partner,0,31-45,79593.0,70,0,48,0,1,2,18,1221,145,1366,1,1,0
Graduation,Partner,1,46-60,54178.0,79,0,159,0,1,2,9,187,7,194,0,0,0
Master,Single,1,31-45,42394.0,69,0,98,0,1,7,4,28,4,32,0,0,0
PhD,Partner,1,31-45,23626.0,84,0,36,0,3,5,7,43,0,43,0,0,0
Graduation,Partner,1,31-45,30096.0,30,0,38,0,1,6,5,36,9,45,0,0,0
Graduation,Single,1,46-60,47916.0,72,0,584,1,5,6,17,531,75,606,1,1,0
Graduation,Single,1,31-45,51813.0,37,0,444,1,2,7,5,61,2,63,0,0,0
2n Cycle,Partner,0,61+,78497.0,44,0,210,0,1,2,24,755,223,978,1,1,0
PhD,Partner,0,31-45,50150.0,32,0,374,1,2,5,14,399,11,410,0,0,0
2n Cycle,Single,1,46-60,47823.0,0,0,341,0,2,8,5,62,10,72,0,0,0
PhD,Single,1,46-60,34554.0,43,0,91,0,2,6,5,50,5,55,0,0,0
Graduation,Partner,1,31-45,85693.0,59,0,435,1,2,5,25,1058,111,1169,0,0,0
PhD,Partner,0,61+,65846.0,68,0,408,1,1,4,15,1039,81,1120,0,0,0
Graduation,Partner,0,46-60,87195.0,35,0,52,0,1,1,19,1059,38,1097,0,0,1
Basic,Partner,1,31-45,24594.0,94,0,201,0,1,5,4,20,9,29,0,0,0
Graduation,Partner,1,46-60,49096.0,15,0,278,0,4,7,9,180,7,187,0,0,0
Graduation,Partner,1,31-45,52413.0,56,0,512,1,4,6,22,845,65,910,0,0,0
Graduation,Single,1,31-45,38557.0,17,0,557,1,2,7,7,118,27,145,0,0,0
Master,Partner,0,46-60,89058.0,18,0,569,1,1,2,13,807,43,850,0,0,0
Graduation,Partner,1,31-45,77298.0,46,0,239,0,1,3,23,890,79,969,0,0,0
PhD,Single,0,18-30,68126.0,40,0,596,1,1,9,16,1734,86,1820,1,1,1
Master,Partner,1,46-60,57288.0,27,0,4,0,3,6,17,548,60,608,1,1,0
Graduation,Single,0,18-30,86037.0,95,0,543,1,1,3,24,708,22,730,2,1,1
PhD,Partner,1,31-45,43974.0,19,0,564,1,5,7,16,479,72,551,0,0,0
Graduation,Single,1,46-60,50785.0,27,0,292,0,2,6,6,87,27,114,0,0,0
Graduation,Partner,0,31-45,90765.0,25,0,156,0,0,1,15,1691,33,1724,2,1,0
2n Cycle,Partner,1,31-45,36550.0,74,0,495,1,5,9,15,457,120,577,0,0,0
2n Cycle,Partner,1,46-60,30753.0,85,0,353,0,2,5,5,51,30,81,0,0,0
Graduation,Partner,1,31-45,21918.0,37,0,227,0,2,6,5,30,3,33,0,0,0
Master,Partner,1,61+,56129.0,65,0,374,1,4,4,18,612,48,660,0,0,0
Master,Single,1,46-60,32557.0,13,0,125,0,3,5,6,70,10,80,0,0,1
Master,Partner,1,18-30,19510.0,63,0,298,0,2,7,4,23,7,30,0,0,0
Graduation,Single,1,31-45,30992.0,83,0,433,1,1,7,4,41,2,43,0,0,0
Graduation,Single,0,31-45,101970.0,69,0,474,1,0,2,27,967,168,1135,3,1,1
2n Cycle,Partner,0,46-60,71488.0,87,0,496,1,2,1,14,387,172,559,0,0,0
Graduation,Single,0,18-30,79607.0,37,0,434,1,1,1,15,1707,216,1923,0,0,1
Master,Partner,1,61+,54348.0,51,0,21,0,2,6,6,86,4,90,0,0,0
PhD,Partner,1,46-60,77376.0,72,0,50,0,4,4,19,649,12,661,0,0,0
Graduation,Partner,1,61+,62998.0,10,0,272,0,5,5,14,405,58,463,0,0,0
Master,Single,1,46-60,61331.0,42,0,476,1,5,8,18,591,41,632,0,0,0
Graduation,Partner,0,31-45,73448.0,10,0,139,0,1,4,18,595,130,725,0,0,0
PhD,Partner,1,46-60,41551.0,51,0,319,0,5,8,11,256,23,279,0,0,0
PhD,Partner,0,46-60,62981.0,21,0,469,1,1,3,22,1482,0,1482,1,1,0
Basic,Single,1,31-45,9548.0,31,0,690,1,2,8,4,20,9,29,0,0,0
PhD,Partner,1,46-60,33762.0,61,0,357,0,3,8,6,90,16,106,0,0,0
PhD,Single,1,31-45,35860.0,37,0,41,0,2,5,4,29,20,49,1,1,1
PhD,Single,1,46-60,36921.0,74,0,336,0,2,7,5,34,4,38,0,0,0
Master,Single,0,18-30,92859.0,46,0,618,1,1,2,21,2057,20,2077,0,0,0
Master,Partner,1,31-45,65104.0,4,0,227,0,2,7,15,1003,50,1053,0,0,1
Graduation,Partner,0,46-60,86111.0,73,0,436,1,1,2,22,1259,126,1385,0,0,0
PhD,Single,1,31-45,68352.0,47,0,305,0,3,6,22,838,33,871,0,0,0
Graduation,Partner,1,18-30,41883.0,13,0,467,1,3,7,9,196,116,312,0,0,0
Graduation,Partner,1,31-45,59809.0,36,0,619,1,3,8,12,828,49,877,0,0,0
Graduation,Partner,1,31-45,23957.0,47,0,609,1,1,6,5,52,16,68,0,0,1
Graduation,Partner,1,31-45,38547.0,49,1,305,0,1,8,3,18,4,22,0,0,0
2n Cycle,Partner,1,31-45,35688.0,94,0,676,1,7,8,9,179,32,211,0,0,0
Master,Partner,0,46-60,49605.0,65,0,8,0,1,3,7,119,8,127,0,0,0
Master,Partner,1,61+,59354.0,59,0,66,0,1,3,15,446,13,459,0,0,0
Graduation,Partner,1,31-45,65747.0,96,0,114,0,4,6,15,447,13,460,1,1,0
2n Cycle,Partner,1,31-45,46344.0,28,0,562,1,4,7,13,338,91,429,0,0,0
Graduation,Single,1,18-30,34176.0,12,0,48,0,4,6,7,69,20,89,0,0,0
PhD,Partner,1,61+,61010.0,57,0,628,1,2,5,24,945,76,1021,0,0,0
Graduation,Partner,0,61+,69372.0,10,0,495,1,1,4,20,1339,42,1381,2,1,1
Graduation,Single,1,46-60,49967.0,4,0,356,0,3,7,12,303,3,306,0,0,0
Graduation,Single,1,31-45,60199.0,49,0,290,0,1,4,3,18,0,18,0,0,0
Graduation,Partner,1,31-45,55375.0,3,0,255,0,1,2,8,148,14,162,0,0,0
Graduation,Single,0,46-60,80317.0,64,0,313,0,1,1,17,1174,57,1231,0,0,0
Master,Single,1,46-60,30523.0,0,0,363,0,1,7,3,8,5,13,0,0,0
PhD,Partner,0,61+,70356.0,20,0,601,1,2,6,25,1673,33,1706,0,0,0
Graduation,Partner,1,18-30,23228.0,91,0,175,0,4,8,7,116,5,121,0,0,0
PhD,Single,0,31-45,74165.0,9,0,424,1,1,2,19,1281,12,1293,0,0,0
PhD,Partner,1,31-45,157243.0,98,0,120,0,15,0,22,1607,1,1608,0,0,0
Graduation,Partner,1,46-60,43482.0,83,0,228,0,3,6,6,60,28,88,0,0,0
Graduation,Single,0,61+,62551.0,27,0,223,0,1,3,17,394,27,421,1,1,0
Graduation,Single,0,46-60,52332.0,63,0,305,0,1,4,11,257,2,259,1,1,0
Graduation,Single,0,18-30,66951.0,46,0,239,0,1,1,14,993,124,1117,0,0,0
Graduation,Partner,1,46-60,26091.0,84,0,124,0,3,5,6,69,20,89,0,0,0
Graduation,Partner,1,46-60,33456.0,58,0,69,0,2,7,4,29,7,36,0,0,0
Graduation,Partner,1,31-45,28718.0,78,0,351,0,2,8,5,41,16,57,0,0,0
Graduation,Partner,1,31-45,50447.0,4,0,69,0,1,6,7,121,27,148,0,0,0
PhD,Partner,1,46-60,53537.0,17,0,150,0,2,5,6,87,6,93,0,0,0
Graduation,Single,1,46-60,52074.0,77,0,86,0,1,4,6,71,48,119,1,1,0
PhD,Partner,1,31-45,80427.0,56,0,655,1,1,5,27,1809,26,1835,0,0,0
PhD,Partner,0,61+,83837.0,79,0,560,1,1,4,24,1207,111,1318,2,1,1
PhD,Partner,1,31-45,38853.0,90,0,37,0,2,7,5,43,2,45,0,0,0
Graduation,Partner,1,46-60,38285.0,96,0,5,0,1,2,3,9,1,10,0,0,0
2n Cycle,Partner,0,61+,78497.0,44,0,210,0,1,2,24,755,223,978,1,1,0
PhD,Partner,1,31-45,51650.0,81,0,49,0,1,5,9,184,7,191,0,0,0
2n Cycle,Partner,1,18-30,16248.0,77,0,50,0,3,6,6,48,9,57,0,0,0
Master,Partner,0,61+,66835.0,21,0,274,0,1,2,23,892,141,1033,0,0,0
Master,Partner,1,18-30,30477.0,16,0,158,0,1,6,5,54,12,66,0,0,0
Basic,Partner,0,46-60,28249.0,80,0,14,0,1,6,5,33,10,43,0,0,0
Graduation,Partner,1,31-45,25271.0,45,0,571,1,1,9,4,43,7,50,0,0,0
PhD,Single,1,31-45,32303.0,63,0,113,0,2,5,5,37,2,39,0,0,0
Graduation,Partner,1,46-60,61286.0,34,0,331,0,2,5,16,491,117,608,0,0,0
Graduation,Partner,0,31-45,74068.0,14,0,467,1,1,2,23,1566,15,1581,0,0,0
PhD,Partner,1,46-60,45759.0,13,0,491,1,2,7,5,64,4,68,0,0,0
Basic,Partner,1,31-45,24882.0,52,0,658,1,1,6,4,44,36,80,1,1,0
PhD,Partner,0,18-30,66973.0,98,0,408,1,1,3,27,1180,102,1282,0,0,0
2n Cycle,Single,1,61+,36640.0,99,1,276,0,1,5,5,40,25,65,0,0,0
Graduation,Partner,1,18-30,38872.0,93,0,395,1,2,8,6,69,22,91,0,0,0
Graduation,Partner,1,31-45,51148.0,38,0,496,1,4,6,12,303,12,315,0,0,0
Graduation,Partner,1,31-45,31353.0,24,0,182,0,2,8,4,24,7,31,0,0,0
Master,Partner,0,31-45,69661.0,80,0,47,0,1,3,22,826,8,834,0,0,0
Graduation,Partner,0,46-60,80067.0,82,0,283,0,1,2,16,1549,51,1600,1,1,0
Graduation,Partner,0,46-60,86718.0,20,0,528,1,1,2,16,1098,172,1270,0,0,0
PhD,Single,1,31-45,46854.0,81,0,90,0,6,8,9,184,79,263,1,1,1
Graduation,Single,1,61+,69142.0,50,0,0,0,3,5,16,496,39,535,1,1,0
Graduation,Single,0,46-60,75922.0,60,0,202,0,1,1,17,1203,92,1295,0,0,0
Graduation,Single,1,31-45,63693.0,63,0,258,0,3,6,26,1096,54,1150,0,0,0
PhD,Partner,0,31-45,102160.0,54,0,604,1,0,4,26,1182,58,1240,3,1,1
PhD,Single,1,46-60,40637.0,72,0,347,0,2,7,4,35,3,38,0,0,0
Master,Single,0,18-30,18890.0,5,0,596,1,1,6,3,20,15,35,1,1,1
Graduation,Partner,1,18-30,29604.0,88,0,203,0,1,9,4,39,14,53,1,1,0
Master,Single,1,46-60,48721.0,50,0,412,1,6,6,11,272,21,293,0,0,0
Graduation,Partner,1,46-60,44794.0,99,0,21,0,1,6,5,61,4,65,0,0,0
Graduation,Single,1,46-60,64497.0,17,0,657,1,5,8,24,1612,192,1804,1,1,1
Graduation,Partner,1,46-60,46097.0,11,0,455,1,5,4,10,233,8,241,0,0,0
Graduation,Partner,0,46-60,77972.0,18,0,103,0,1,1,19,1089,12,1101,0,0,0
PhD,Partner,1,46-60,44377.0,70,0,632,1,8,8,11,254,10,264,0,0,0
Master,Partner,1,31-45,46014.0,21,0,524,1,10,7,16,497,44,541,0,0,0
Graduation,Partner,0,18-30,70951.0,66,0,421,1,1,1,16,1144,54,1198,0,0,0
Graduation,Partner,1,31-45,41443.0,79,0,89,0,6,8,14,393,89,482,0,0,0
2n Cycle,Single,1,31-45,52195.0,2,0,48,0,1,8,3,16,1,17,0,0,0
Master,Partner,0,61+,83790.0,81,0,226,0,1,3,24,1599,16,1615,2,1,0
Master,Single,1,46-60,44551.0,24,0,302,0,2,7,10,219,66,285,0,0,0
Graduation,Partner,1,31-45,69508.0,48,0,592,1,2,6,26,1092,43,1135,0,0,0
2n Cycle,Partner,1,18-30,45204.0,93,0,79,0,1,3,6,96,18,114,0,0,0
Graduation,Partner,0,31-45,72460.0,56,0,227,0,1,1,15,1037,10,1047,0,0,0
PhD,Partner,1,31-45,77622.0,3,0,76,0,2,3,20,700,14,714,0,0,0
PhD,Partner,1,31-45,30732.0,44,0,540,1,4,8,9,182,3,185,0,0,0
Graduation,Single,1,46-60,63887.0,38,0,659,1,5,6,27,1153,92,1245,0,0,0
Graduation,Partner,1,31-45,42011.0,46,0,460,1,4,8,8,150,39,189,0,0,0
Graduation,Partner,1,31-45,51369.0,84,0,612,1,2,8,14,394,182,576,0,0,0
Graduation,Single,1,61+,51537.0,27,0,567,1,3,8,15,1011,92,1103,0,0,0
PhD,Partner,0,31-45,79930.0,72,0,690,1,1,2,16,1736,17,1753,0,0,0
PhD,Partner,1,18-30,34320.0,66,0,133,0,1,8,3,17,0,17,0,0,0
Graduation,Single,1,46-60,37070.0,30,0,466,1,9,7,14,394,39,433,0,0,1
2n Cycle,Single,1,46-60,81975.0,2,0,540,1,1,7,13,1561,27,1588,1,1,0
Graduation,Partner,1,31-45,38590.0,65,0,410,1,1,8,3,19,3,22,0,0,0
Graduation,Single,0,61+,15033.0,37,0,74,0,1,3,4,15,4,19,0,0,0
PhD,Partner,1,46-60,62745.0,89,0,463,1,3,5,26,1085,32,1117,0,0,0
2n Cycle,Partner,1,31-45,22212.0,49,0,202,0,2,6,6,48,21,69,0,0,0
Master,Partner,1,31-45,23661.0,46,0,207,0,1,7,4,22,1,23,0,0,0
PhD,Single,1,46-60,79761.0,32,0,268,0,1,3,18,594,11,605,0,0,0
Graduation,Single,1,31-45,7500.0,54,0,185,0,4,7,7,37,20,57,0,0,0
2n Cycle,Single,1,61+,60182.0,23,0,43,0,1,4,3,20,2,22,0,0,0
Graduation,Single,0,46-60,73455.0,98,0,244,0,1,3,21,2068,20,2088,1,1,0
Graduation,Partner,1,46-60,64961.0,97,0,553,1,2,3,14,971,38,1009,0,0,0
Graduation,Single,1,31-45,22804.0,75,0,333,0,1,9,4,25,1,26,0,0,0
Graduation,Partner,0,18-30,73687.0,8,0,213,0,1,2,21,1446,181,1627,1,1,1
Graduation,Partner,1,46-60,61074.0,37,0,681,1,7,7,24,950,152,1102,0,0,0
PhD,Partner,1,46-60,31686.0,31,0,24,0,2,6,4,16,1,17,0,0,0
Graduation,Partner,1,31-45,80134.0,40,0,405,1,2,6,14,1610,80,1690,3,1,1
Graduation,Partner,1,61+,75027.0,74,0,536,1,2,5,19,1313,77,1390,0,0,0
PhD,Partner,0,18-30,67546.0,90,0,667,1,1,3,19,1954,172,2126,0,0,0
Master,Partner,1,31-45,65176.0,57,0,608,1,4,6,21,1461,70,1531,0,0,0
Master,Single,1,31-45,31160.0,59,0,286,0,2,8,5,51,13,64,0,0,0
Graduation,Single,1,18-30,29938.0,52,0,245,0,2,6,4,15,11,26,0,0,0
Graduation,Single,0,31-45,102692.0,5,0,450,1,1,2,28,964,148,1112,4,1,1
2n Cycle,Partner,0,46-60,26490.0,92,0,645,1,2,6,9,185,25,210,0,0,0
Graduation,Partner,1,46-60,75702.0,77,0,669,1,5,8,21,1118,30,1148,0,0,0
PhD,Single,1,31-45,30899.0,35,0,624,1,2,6,4,32,1,33,0,0,0
PhD,Partner,1,46-60,63342.0,48,0,621,1,3,6,16,1080,21,1101,1,1,0
Graduation,Single,1,46-60,45989.0,97,0,615,1,4,3,12,310,12,322,0,0,0
Graduation,Single,1,46-60,18701.0,95,0,390,1,4,5,6,34,10,44,0,0,0
PhD,Single,1,46-60,40737.0,24,0,203,0,1,8,3,15,2,17,0,0,0
Graduation,Single,1,31-45,15287.0,60,0,627,1,2,7,4,18,13,31,1,1,1
PhD,Single,1,46-60,69674.0,46,0,403,1,3,5,22,821,24,845,0,0,0
Master,Partner,1,31-45,44159.0,85,0,12,0,4,5,11,268,7,275,0,0,0
PhD,Partner,1,31-45,37717.0,31,0,583,1,1,9,3,20,5,25,0,0,0
Master,Partner,1,61+,43776.0,9,0,511,1,6,8,11,255,20,275,0,0,1
Master,Partner,1,46-60,38179.0,30,0,472,1,4,7,7,70,20,90,0,0,0
Graduation,Partner,0,46-60,80124.0,47,0,3,0,1,1,18,1254,241,1495,1,1,0
PhD,Partner,1,31-45,38097.0,70,0,622,1,4,7,7,115,69,184,1,1,1
Graduation,Partner,0,31-45,72940.0,13,0,375,1,1,1,12,865,116,981,0,0,0
Graduation,Partner,1,31-45,22070.0,11,0,268,0,2,6,6,46,21,67,0,0,0
Graduation,Single,0,61+,69267.0,31,0,645,1,2,7,12,1489,146,1635,0,0,1
Master,Single,1,31-45,31788.0,15,1,101,0,3,5,7,54,6,60,0,0,0
PhD,Partner,1,31-45,61905.0,2,0,145,0,2,5,10,218,13,231,0,0,0
Graduation,Partner,1,46-60,29315.0,55,0,84,0,4,6,6,44,4,48,0,0,0
Graduation,Single,1,46-60,33378.0,38,0,508,1,3,7,6,89,10,99,0,0,0
PhD,Partner,1,46-60,66313.0,86,0,286,0,2,4,21,763,7,770,0,0,0
Graduation,Single,0,46-60,60714.0,56,0,528,1,2,5,21,795,162,957,0,0,1
Master,Partner,0,31-45,77882.0,29,0,60,0,1,1,11,803,15,818,0,0,0
PhD,Single,0,18-30,69867.0,30,0,453,1,1,1,16,871,54,925,1,1,1
Master,Single,1,46-60,63841.0,64,0,434,1,1,6,21,777,131,908,0,0,0
Basic,Partner,1,31-45,24480.0,46,0,503,1,3,7,7,85,17,102,0,0,0
Graduation,Partner,1,31-45,51369.0,84,0,612,1,2,8,14,394,182,576,0,0,0
Graduation,Partner,0,61+,37760.0,20,0,667,1,2,7,11,289,28,317,0,0,0
PhD,Partner,1,31-45,65640.0,74,0,120,0,1,2,14,395,66,461,0,0,0
Master,Partner,1,31-45,44319.0,18,0,73,0,2,5,5,34,3,37,0,0,0
Graduation,Partner,1,31-45,30631.0,75,0,352,0,1,7,6,50,20,70,0,0,0
Graduation,Partner,0,61+,75278.0,17,0,516,1,1,3,22,856,74,930,0,0,0
Master,Partner,1,46-60,50898.0,88,0,537,1,13,5,20,724,135,859,0,0,0
Graduation,Single,0,46-60,79946.0,19,0,48,0,1,3,21,1450,28,1478,0,0,0
Master,Single,0,61+,35416.0,62,0,381,1,3,8,13,339,51,390,0,0,0
2n Cycle,Partner,0,18-30,32414.0,11,0,360,0,1,7,4,40,12,52,1,1,0
Graduation,Partner,1,31-45,38361.0,74,0,184,0,3,7,7,123,14,137,0,0,0
Graduation,Partner,0,31-45,82497.0,32,0,606,1,1,4,18,1716,203,1919,1,1,0
Graduation,Partner,1,31-45,16626.0,76,0,165,0,3,9,6,55,13,68,0,0,0
Graduation,Partner,1,46-60,29672.0,6,0,474,1,1,6,3,17,8,25,0,0,0
Master,Partner,1,61+,55951.0,62,0,675,1,3,8,20,1334,40,1374,2,1,0
2n Cycle,Single,1,18-30,35388.0,20,0,479,1,1,7,4,24,8,32,0,0,0
Master,Partner,1,18-30,42386.0,43,0,532,1,1,8,6,89,11,100,0,0,0
Graduation,Single,0,31-45,68627.0,45,0,533,1,1,1,11,787,38,825,0,0,0
PhD,Single,1,46-60,57912.0,34,0,104,0,5,5,23,881,35,916,1,1,0
Graduation,Single,1,46-60,35246.0,53,0,74,0,4,5,7,52,10,62,0,0,0
2n Cycle,Partner,1,46-60,58821.0,44,0,260,0,1,6,20,700,28,728,0,0,0
PhD,Partner,1,31-45,46377.0,89,0,120,0,1,4,6,90,0,90,0,0,0
Graduation,Single,1,18-30,39747.0,43,0,77,0,3,8,10,221,52,273,0,0,0
Graduation,Partner,1,18-30,23976.0,68,0,184,0,3,7,7,41,25,66,0,0,0
Master,Partner,0,46-60,80950.0,44,0,458,1,1,2,22,1150,63,1213,1,1,0
Graduation,Single,0,46-60,27038.0,64,0,649,1,1,9,6,92,15,107,0,0,1
Graduation,Single,0,61+,77457.0,85,0,116,0,1,1,17,1146,11,1157,1,1,0
Master,Partner,1,46-60,64100.0,93,0,292,0,1,7,17,536,10,546,1,1,0
Master,Partner,0,18-30,42670.0,12,0,428,1,1,4,10,226,15,241,0,0,0
Graduation,Single,1,31-45,12571.0,86,0,162,0,4,6,7,36,17,53,0,0,0
Graduation,Partner,1,46-60,22574.0,28,0,244,0,2,7,5,35,2,37,0,0,0
