Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Days_Since_Enrolled,Years_Since_Enrolled,Age,AgeGroup,Children,MntTotal,AcceptedCmpTotal,NumTotalPurchases,HasChildren,MntRegularProds,HasAcceptedCmp
1976,Basic,Partner,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,593,1,38,31-45,0,61,0,5,0,45,0
1959,Graduation,Single,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,226,0,55,46-60,0,1102,0,15,0,1072,0
1952,Master,Single,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,226,0,62,61+,2,310,0,12,1,296,0
1987,Graduation,Partner,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,627,1,27,18-30,0,46,0,4,0,41,0
1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,582,1,68,61+,0,1315,2,25,0,1270,1
1980,Graduation,Partner,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,552,1,34,31-45,2,96,0,6,1,92,0
1946,Graduation,Partner,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,667,1,68,61+,0,317,0,11,0,289,0
1949,Master,Partner,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,458,1,65,61+,1,1782,1,24,1,1606,1
1985,2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,603,1,29,18-30,1,133,0,6,1,94,0
1982,Graduation,Partner,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,690,1,32,31-45,0,316,0,11,0,268,0
1979,Graduation,Partner,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,539,1,35,31-45,1,1730,0,28,1,1729,0
1949,PhD,Partner,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,553,1,65,61+,1,972,1,14,1,953,1
1954,PhD,Partner,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,169,0,60,46-60,1,544,0,17,1,539,0
1951,Graduation,Partner,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,468,1,63,61+,1,444,0,13,1,345,0
1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,543,1,45,31-45,0,75,0,6,0,62,0
1976,Graduation,Partner,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,398,1,38,31-45,2,257,0,10,1,216,0
1989,Graduation,Partner,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,394,1,25,18-30,1,131,0,7,1,121,0
1965,PhD,Partner,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,219,0,49,46-60,0,1672,1,25,0,1672,1
1989,Master,Single,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,38,0,25,18-30,0,30,0,6,0,26,0
1963,Master,Partner,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,414,1,51,46-60,0,318,0,10,0,229,0
1970,Graduation,Partner,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,627,1,44,31-45,1,120,1,7,1,117,1
1952,PhD,Single,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,608,1,62,61+,2,302,0,11,1,259,0
1946,Master,Partner,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,494,1,68,61+,0,1196,0,17,0,1174,0
1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,304,0,63,61+,2,65,0,5,1,62,0
1970,PhD,Partner,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,180,0,44,31-45,1,913,0,23,1,878,0
1976,2n Cycle,Partner,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,300,0,38,31-45,1,81,0,6,1,45,0
1973,Graduation,Single,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,138,0,41,31-45,1,67,0,5,1,63,0
1943,PhD,Single,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,513,1,71,61+,0,902,1,22,0,860,1
1980,Graduation,Partner,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,426,1,34,31-45,1,1395,0,19,1,1293,0
1985,Master,Partner,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,474,1,29,18-30,1,53,0,5,1,46,0
1957,Graduation,Partner,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,552,1,57,46-60,1,22,0,3,1,19,0
1975,Master,Partner,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,270,0,39,31-45,1,31,0,5,1,19,0
1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,1,0,38,31-45,0,984,0,15,0,810,0
1996,2n Cycle,Partner,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,597,1,18,18-30,0,122,0,7,0,72,0
1968,Graduation,Partner,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,401,1,46,46-60,1,55,0,4,1,42,0
1954,PhD,Partner,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,598,1,60,46-60,2,1319,0,19,1,1281,0
1957,Graduation,Single,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,48,0,57,46-60,1,507,0,16,1,493,0
1964,Master,Partner,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,687,1,50,46-60,0,1693,0,28,0,1661,0
1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,543,1,37,31-45,1,72,0,5,1,69,0
1977,Graduation,Single,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,22,0,37,31-45,0,1617,2,20,0,1376,1
1978,Graduation,Partner,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,382,1,36,31-45,2,606,0,16,1,497,0
1955,Master,Partner,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,587,1,59,46-60,0,1957,1,26,0,1767,1
1966,Graduation,Single,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,453,1,48,46-60,0,1093,0,20,0,1053,0
1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,62,0,26,18-30,1,29,0,5,1,24,0
1968,PhD,Partner,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,118,0,46,46-60,1,518,0,16,1,475,0
1982,Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,360,0,32,31-45,0,1438,2,20,0,1358,1
1975,Graduation,Partner,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,660,1,39,31-45,2,612,0,18,1,606,0
1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,496,1,62,61+,1,884,0,20,1,715,0
1951,PhD,Single,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,383,1,63,61+,1,606,0,18,1,600,0
1948,Graduation,Partner,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,205,0,66,61+,0,1076,0,15,0,1046,0
1971,Graduation,Partner,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,404,1,43,31-45,1,34,0,4,1,19,0
1967,Graduation,Partner,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,49,0,47,46-60,2,11,0,3,1,11,0
1979,2n Cycle,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,102,0,35,31-45,1,1274,2,31,1,1236,1
1958,Graduation,Partner,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,275,0,56,46-60,1,653,0,17,1,544,0
1970,Graduation,Partner,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,447,1,44,31-45,3,1562,0,12,1,1489,0
1954,Master,Partner,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,656,1,60,46-60,0,1253,0,18,0,1241,0
1959,Graduation,Partner,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,469,1,55,46-60,1,863,0,26,1,777,0
1975,PhD,Partner,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,450,1,39,31-45,2,661,1,19,1,642,1
1952,Graduation,Partner,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,60,0,62,61+,0,65,0,7,0,56,0
1977,Graduation,Single,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,557,1,37,31-45,1,13,0,3,1,12,0
1972,Master,Partner,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,671,1,42,31-45,0,1890,0,18,0,1872,0
1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,625,1,38,31-45,0,2209,1,22,0,2158,1
1976,2n Cycle,Partner,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,298,0,38,31-45,0,18,0,3,0,9,0
1965,Graduation,Partner,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,543,1,49,46-60,0,692,1,19,0,641,1
1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,669,1,29,18-30,1,165,0,8,1,148,0
1969,Graduation,Partner,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,371,1,45,31-45,1,16,0,3,1,12,0
1973,2n Cycle,Partner,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,361,0,41,31-45,1,79,0,6,1,56,0
1963,Master,Partner,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,414,1,51,46-60,0,318,0,10,0,229,0
1987,Graduation,Single,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,124,0,27,18-30,0,778,0,26,0,702,0
1960,Graduation,Partner,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,322,0,54,46-60,2,56,0,5,1,53,0
1970,Master,Partner,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,348,0,44,31-45,2,151,1,8,1,146,1
1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,32,0,57,46-60,1,372,2,13,1,338,1
1973,Graduation,Partner,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,48,0,41,31-45,0,1366,1,18,0,1221,1
1967,Graduation,Partner,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,159,0,47,46-60,1,194,0,9,1,187,0
1972,Master,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,98,0,42,31-45,1,32,0,4,1,28,0
1970,PhD,Partner,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,36,0,44,31-45,1,43,0,7,1,43,0
1983,Graduation,Partner,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,38,0,31,31-45,1,45,0,5,1,36,0
1960,Graduation,Single,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,584,1,54,46-60,1,606,1,17,1,531,1
1972,Graduation,Single,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,444,1,42,31-45,2,63,0,5,1,61,0
1951,2n Cycle,Partner,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,210,0,63,61+,0,978,1,24,0,755,1
1983,PhD,Partner,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,374,1,31,31-45,0,410,0,14,0,399,0
1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,341,0,54,46-60,1,72,0,5,1,62,0
1959,PhD,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,91,0,55,46-60,1,55,0,5,1,50,0
1979,Graduation,Partner,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,435,1,35,31-45,1,1169,0,25,1,1058,0
1945,PhD,Partner,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,408,1,69,61+,0,1120,0,15,0,1039,0
1959,Graduation,Partner,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,52,0,55,46-60,0,1097,0,19,0,1059,0
1979,Basic,Partner,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,201,0,35,31-45,1,29,0,4,1,20,0
1964,Graduation,Partner,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,278,0,50,46-60,2,187,0,9,1,180,0
1969,Graduation,Partner,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,512,1,45,31-45,2,910,0,22,1,845,0
1978,Graduation,Single,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,557,1,36,31-45,1,145,0,7,1,118,0
1960,Master,Partner,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,569,1,54,46-60,0,850,0,13,0,807,0
1979,Graduation,Partner,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,239,0,35,31-45,1,969,0,23,1,890,0
1991,PhD,Single,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,596,1,23,18-30,0,1820,1,16,0,1734,1
1963,Master,Partner,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,4,0,51,46-60,1,608,1,17,1,548,1
1991,Graduation,Single,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,543,1,23,18-30,0,730,2,24,0,708,1
1980,PhD,Partner,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,564,1,34,31-45,1,551,0,16,1,479,0
1962,Graduation,Single,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,292,0,52,46-60,2,114,0,6,1,87,0
1970,Graduation,Partner,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,156,0,44,31-45,0,1724,2,15,0,1691,1
1978,2n Cycle,Partner,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,495,1,36,31-45,1,577,0,15,1,457,0
1967,2n Cycle,Partner,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,353,0,47,46-60,2,81,0,5,1,51,0
1969,Graduation,Partner,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,227,0,45,31-45,1,33,0,5,1,30,0
1953,Master,Partner,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,374,1,61,61+,1,660,0,18,1,612,0
1967,Master,Single,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,125,0,47,46-60,1,80,0,6,1,70,0
1985,Master,Partner,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,298,0,29,18-30,2,30,0,4,1,23,0
1976,Graduation,Single,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,433,1,38,31-45,1,43,0,4,1,41,0
1983,Graduation,Single,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,474,1,31,31-45,0,1135,3,27,0,967,1
1965,2n Cycle,Partner,71488.0,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,496,1,49,46-60,0,559,0,14,0,387,0
1984,Graduation,Single,79607.0,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,434,1,30,18-30,0,1923,0,15,0,1707,0
1953,Master,Partner,54348.0,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,21,0,61,61+,2,90,0,6,1,86,0
1956,PhD,Partner,77376.0,1,1,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,50,0,58,46-60,2,661,0,19,1,649,0
1952,Graduation,Partner,62998.0,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,272,0,62,61+,1,463,0,14,1,405,0
1958,Master,Single,61331.0,1,1,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,476,1,56,46-60,2,632,0,18,1,591,0
1969,Graduation,Partner,73448.0,0,0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,139,0,45,31-45,0,725,0,18,0,595,0
1964,PhD,Partner,41551.0,1,1,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,319,0,50,46-60,2,279,0,11,1,256,0
1967,PhD,Partner,62981.0,0,0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,469,1,47,46-60,0,1482,1,22,0,1482,1
1976,Basic,Single,9548.0,1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,690,1,38,31-45,1,29,0,4,1,20,0
1959,PhD,Partner,33762.0,2,1,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,357,0,55,46-60,3,106,0,6,1,90,0
1973,PhD,Single,35860.0,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,41,0,41,31-45,2,49,1,4,1,29,1
1965,PhD,Single,36921.0,1,1,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,336,0,49,46-60,2,38,0,5,1,34,0
1992,Master,Single,92859.0,0,0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,618,1,22,18-30,0,2077,0,21,0,2057,0
1976,Master,Partner,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,227,0,38,31-45,1,1053,0,15,1,1003,0
1962,Graduation,Partner,86111.0,0,0,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,436,1,52,46-60,0,1385,0,22,0,1259,0
1974,PhD,Single,68352.0,0,1,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,305,0,40,31-45,1,871,0,22,1,838,0
1988,Graduation,Partner,41883.0,1,0,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,467,1,26,18-30,1,312,0,9,1,196,0
1976,Graduation,Partner,59809.0,0,2,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,619,1,38,31-45,2,877,0,12,1,828,0
1975,Graduation,Partner,23957.0,1,0,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,609,1,39,31-45,1,68,0,5,1,52,0
1981,Graduation,Partner,38547.0,1,0,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,305,0,33,31-45,1,22,0,3,1,18,0
1973,2n Cycle,Partner,35688.0,2,1,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,676,1,41,31-45,3,211,0,9,1,179,0
1966,Master,Partner,49605.0,0,0,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,8,0,48,46-60,0,127,0,7,0,119,0
1953,Master,Partner,59354.0,0,2,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,66,0,61,61+,2,459,0,15,1,446,0
1969,Graduation,Partner,65747.0,0,1,2014-03-07,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,114,0,45,31-45,1,460,1,15,1,447,1
1972,2n Cycle,Partner,46344.0,0,1,2012-12-14,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,562,1,42,31-45,1,429,0,13,1,338,0
1988,Graduation,Single,34176.0,1,0,2014-05-12,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,48,0,26,18-30,1,89,0,7,1,69,0
1952,PhD,Partner,61010.0,0,1,2012-10-09,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,628,1,62,61+,1,1021,0,24,1,945,0
1949,Graduation,Partner,69372.0,0,0,2013-02-19,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,495,1,65,61+,0,1381,2,20,0,1339,1
1958,Graduation,Single,49967.0,0,1,2013-07-08,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,356,0,56,46-60,1,306,0,12,1,303,0
1978,Graduation,Single,60199.0,1,2,2013-09-12,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,290,0,36,31-45,3,18,0,3,1,18,0
1977,Graduation,Partner,55375.0,0,1,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,255,0,37,31-45,1,162,0,8,1,148,0
1955,Graduation,Single,80317.0,0,0,2013-08-20,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,313,0,59,46-60,0,1231,0,17,0,1174,0
